date,product,role,long_oi,short_oi,net_oi,long_trade,short_trade,net_trade
2018-09-03,臺股期貨,投信,2605,27575,-24970,0,519,-519
2018-09-03,臺股期貨,自營商,9246,12388,-3142,17845,19100,-1255
2018-09-04,小型臺指,外資,3537,2686,851,36179,35510,669
2018-09-04,小型臺指,投信,138,0,138,0,0,0
2018-09-04,小型臺指,自營商,21755,13083,8672,8543,9548,-1005
2018-09-04,臺股期貨,外資,73946,27433,46513,55470,55879,-409
2018-09-04,臺股期貨,投信,2565,27207,-24642,377,49,328
2018-09-04,臺股期貨,自營商,8965,11999,-3034,14499,14168,331
2018-09-05,小型臺指,外資,2323,3119,-796,47100,48764,-1664
2018-09-05,小型臺指,投信,138,0,138,0,0,0
2018-09-05,小型臺指,自營商,23293,14904,8389,11489,11705,-216
2018-09-05,臺股期貨,外資,74146,27117,47029,69252,68738,514
2018-09-05,臺股期貨,投信,2525,27221,-24696,10,64,-54
2018-09-05,臺股期貨,自營商,8496,12462,-3966,20603,21561,-958
2018-09-06,小型臺指,外資,2461,830,1631,58582,59211,-629
2018-09-06,小型臺指,投信,138,0,138,0,0,0
2018-09-06,小型臺指,自營商,23254,15544,7710,12854,13529,-675
2018-09-06,臺股期貨,外資,75394,27825,47569,78281,76977,1304
2018-09-06,臺股期貨,投信,2535,27242,-24707,24,35,-11
2018-09-06,臺股期貨,自營商,7906,12547,-4641,18756,19432,-676
2018-09-07,小型臺指,外資,1975,2172,-197,53639,55467,-1828
